OrderID,OrderTransactTime,ExecutionTransactTime,Symbol,Side,OrderQty,LimitPrice,AvgPx,LastMkt
ID1542,20250910-08:00:00.377,20250910-08:00:00.509,YANG,1,27,23.7,23.170000,ID1516
ID1572,20250910-08:00:00.450,20250910-08:00:00.692,IREN,1,30,31.29,31.290000,ID1516
ID1632,20250910-08:00:00.747,20250910-08:00:00.982,DJT,2,53,16.91,16.910000,ID1516
ID1711,20250910-08:00:00.866,20250910-08:00:01.006,AMD,2,80,159.56,160.110000,ID1516
ID1732,20250910-08:00:00.920,20250910-08:00:01.042,SOFI,2,4,25.86,25.890000,ID1516
ID1770,20250910-08:00:00.983,20250910-08:00:01.156,WOLF,1,100,1.82,1.800000,ID1516
ID1815,20250910-08:00:01.147,20250910-08:00:01.264,YINN,2,100,50.2,51.540000,ID1516
ID1832,20250910-08:00:01.195,20250910-08:00:01.324,NIO,1,1,6.26,6.030000,ID1516
ID1836,20250910-08:00:01.196,20250910-08:00:01.334,NIO,1,1,6.26,6.030000,ID1516
ID1863,20250910-08:00:01.260,20250910-08:00:01.709,EVH,2,704,9.99,9.990000,ID1516
ID2053,20250910-08:00:01.885,20250910-08:00:02.016,TTD,1,30,52.25,51.600000,ID1516
ID2052,20250910-08:00:01.864,20250910-08:00:02.016,REVB,1,200,2.6,2.597000,ID1516
ID2097,20250910-08:00:01.947,20250910-08:00:02.089,CETX,1,11,0.84,0.839400,ID1516
ID2098,20250910-08:00:01.964,20250910-08:00:02.089,RMTI,1,40,1.8,1.790000,ID1516
ID2022,20250910-08:00:01.764,20250910-08:00:02.245,BIYA,1,1000,0.763,0.763000,ID1516
ID2009,20250910-08:00:01.684,20250910-08:00:02.245,BIYA,1,29,0.763,0.763000,ID1516
ID2152,20250910-08:00:02.199,20250910-08:00:02.324,ASST,2,3,10.2,11.100000,ID1516
ID2172,20250910-08:00:02.243,20250910-08:00:02.597,CDTG,2,1065,1.4,1.490000,ID1516
ID2177,20250910-08:00:02.263,20250910-08:00:02.597,CDTG,2,505,1.48,1.490000,ID1516
ID2169,20250910-08:00:02.226,20250910-08:00:02.597,ASST,2,33,10,10.817576,ID1516
ID2174,20250910-08:00:02.252,20250910-08:00:02.597,WLDS,2,50,2.2,2.200000,ID1516
ID2181,20250910-08:00:02.296,20250910-08:00:02.598,EQ,2,4,1.82,1.840000,ID1516
ID2269,20250910-08:00:02.501,20250910-08:00:02.749,CUPR,2,470,2.46,2.600000,ID1516
ID2289,20250910-08:00:02.521,20250910-08:00:02.753,CUPR,2,35,2.5,2.600000,ID1516
ID2300,20250910-08:00:02.526,20250910-08:00:02.753,CUPR,1,98,2.66,2.600000,ID1516
ID2270,20250910-08:00:02.504,20250910-08:00:02.755,CUPR,2,65,2.6,2.600000,ID1516
ID2431,20250910-08:00:02.870,20250910-08:00:03.014,BIYA,1,508,0.763,0.720000,ID1516
ID2458,20250910-08:00:02.902,20250910-08:00:03.033,RMTI,1,6,1.8,1.790000,ID1516
ID2272,20250910-08:00:02.509,20250910-08:00:03.086,CUPR,2,2000,2.6,2.600000,ID1516
ID2287,20250910-08:00:02.514,20250910-08:00:03.086,CUPR,2,70,2.6,2.600000,ID1516
ID2488,20250910-08:00:02.922,20250910-08:00:03.110,BIYA,1,31,0.7705,0.720000,ID1516
ID2489,20250910-08:00:02.925,20250910-08:00:03.110,MASK,1,250,0.7799,0.771100,ID1516
ID2116,20250910-08:00:01.983,20250910-08:00:03.240,EPWK,2,7,0.39,0.390000,ID1516
ID2515,20250910-08:00:03.081,20250910-08:00:03.240,EPWK,1,7,0.39,0.390000,ID1516
ID2516,20250910-08:00:03.083,20250910-08:00:03.240,RMTI,1,56,1.8,1.790000,ID1516
ID2523,20250910-08:00:03.115,20250910-08:00:03.241,RMTI,1,100,1.8,1.790000,ID1516
ID2623,20250910-08:00:03.394,20250910-08:00:03.514,RMTI,1,1000,1.8,1.798020,ID1516
ID2641,20250910-08:00:03.458,20250910-08:00:03.631,GNPX,2,700,0.205,0.205200,ID1516
ID2498,20250910-08:00:03.054,20250910-08:00:03.732,BIYA,1,683,0.763,0.730640,ID1516
ID2715,20250910-08:00:03.587,20250910-08:00:03.732,BIYA,2,322,0.7,0.728565,ID1516
ID2555,20250910-08:00:03.137,20250910-08:00:03.734,BIYA,1,4,0.763,0.763000,ID1516
ID2742,20250910-08:00:03.676,20250910-08:00:03.796,BIYA,2,13,0.7,0.700200,ID1516
ID2756,20250910-08:00:03.710,20250910-08:00:03.852,BILI,2,2,25,25.320000,ID1516
ID2789,20250910-08:00:03.792,20250910-08:00:03.955,SBET,2,50,16.8,16.810000,ID1516
ID2336,20250910-08:00:02.586,20250910-08:00:03.972,JBDI,2,457,2,2.000000,ID1516
ID2830,20250910-08:00:03.845,20250910-08:00:04.033,AI,1,6,15.93,15.860000,ID1516
ID2864,20250910-08:00:03.977,20250910-08:00:04.166,ULTY,1,10,5.59,5.590000,ID1516
ID2891,20250910-08:00:04.033,20250910-08:00:04.167,UAVS,1,300,1.94,1.920000,ID1516
ID2916,20250910-08:00:04.077,20250910-08:00:04.249,COIN,2,1,320,320.010000,ID1516
ID2918,20250910-08:00:04.091,20250910-08:00:04.250,RMTI,1,63,1.8,1.800000,ID1516
ID2950,20250910-08:00:04.105,20250910-08:00:04.285,SMCI,2,40,43.6,43.600000,ID1516
ID2973,20250910-08:00:04.494,20250910-08:00:04.607,NBIS,1,79,96.55,96.469620,ID1516
ID3005,20250910-08:00:04.535,20250910-08:00:04.651,BIYA,1,100,0.763,0.720000,ID1516
ID3006,20250910-08:00:04.537,20250910-08:00:04.651,NIO,1,2,6.26,6.030000,ID1516
ID3055,20250910-08:00:04.596,20250910-08:00:04.852,NVDA,2,35,173.15,173.340000,ID1516
ID3060,20250910-08:00:04.636,20250910-08:00:04.854,JBDI,1,51,2,1.994118,ID1516
ID3110,20250910-08:00:04.710,20250910-08:00:04.863,RMTI,1,6,1.8,1.800000,ID1516
ID3124,20250910-08:00:04.726,20250910-08:00:04.866,YANG,1,5,23.4,23.190000,ID1516
ID3193,20250910-08:00:04.869,20250910-08:00:05.075,LCID,2,3,19.29,19.290000,ID1516
ID3230,20250910-08:00:04.904,20250910-08:00:05.092,AUR,2,3,5.7,5.740000,ID1516
ID3234,20250910-08:00:04.906,20250910-08:00:05.092,RMTI,1,8,1.8,1.800000,ID1516
ID3298,20250910-08:00:04.992,20250910-08:00:05.133,RMTI,1,100,1.8,1.800000,ID1516
ID3352,20250910-08:00:05.159,20250910-08:00:05.293,ZONE,2,24,4.25,4.250000,ID1516
ID3451,20250910-08:00:05.445,20250910-08:00:05.555,JBDI,1,67,2.2,2.000000,ID1516
ID3455,20250910-08:00:05.446,20250910-08:00:05.564,RMTI,1,40,1.8,1.800000,ID1516
ID3465,20250910-08:00:05.472,20250910-08:00:05.589,WLDS,1,10,2.3,2.160000,ID1516
ID3469,20250910-08:00:05.491,20250910-08:00:05.601,BIYA,1,20,0.765,0.720000,ID1516
ID1866,20250910-08:00:01.286,20250910-08:00:05.642,WRD,1,100,9.5,9.500000,ID1516
ID2729,20250910-08:00:03.596,20250910-08:00:05.990,BIYA,2,385,0.72,0.720447,ID1516
ID3558,20250910-08:00:05.872,20250910-08:00:05.990,BIYA,1,500,0.763,0.729608,ID1516
ID3390,20250910-08:00:05.261,20250910-08:00:06.106,DSY,2,120,2.29,2.290000,ID1516
ID3607,20250910-08:00:06.073,20250910-08:00:06.186,AUR,2,1,5.74,5.740000,ID1516
ID3686,20250910-08:00:06.384,20250910-08:00:06.496,SMCY,1,1,15.11,15.110000,ID1516
ID3722,20250910-08:00:06.521,20250910-08:00:06.633,RMTI,1,6,1.8,1.800000,ID1516
ID2168,20250910-08:00:02.224,20250910-08:00:06.635,ASST,2,720,12,12.000000,ID1516
ID3457,20250910-08:00:05.448,20250910-08:00:06.718,UNH,1,6,347.92,347.920000,ID1516
ID3849,20250910-08:00:07.107,20250910-08:00:07.218,RMTI,1,28,1.8,1.800000,ID1516
ID3848,20250910-08:00:07.105,20250910-08:00:07.240,ASST,2,5,12.5,12.500000,ID1516
ID3856,20250910-08:00:07.129,20250910-08:00:07.240,CONL,2,80,34.6,34.600750,ID1516
ID2352,20250910-08:00:02.621,20250910-08:00:07.300,DSY,2,223,2.53,2.530000,ID1516
ID3892,20250910-08:00:07.255,20250910-08:00:07.368,RMTI,1,54,1.8,1.800000,ID1516
ID3896,20250910-08:00:07.266,20250910-08:00:07.379,SMCY,1,15,15.11,15.110000,ID1516
ID3901,20250910-08:00:07.288,20250910-08:00:07.402,RMTI,1,57,1.8,1.800000,ID1516
ID3963,20250910-08:00:07.474,20250910-08:00:07.585,AUR,2,6,5.73,5.740000,ID1516
ID3972,20250910-08:00:07.502,20250910-08:00:07.614,RMTI,1,1325,1.8,1.800000,ID1516
ID4056,20250910-08:00:07.847,20250910-08:00:07.955,BIYA,1,150,0.763,0.740100,ID1516
ID2521,20250910-08:00:03.105,20250910-08:00:08.234,JEM,1,293,0.7298,0.729800,ID1516
ID3040,20250910-08:00:04.591,20250910-08:00:08.235,JEM,1,50,0.7297,0.729700,ID1516
ID3872,20250910-08:00:07.161,20250910-08:00:08.499,EPWK,1,50,0.39,0.390000,ID1516
ID2273,20250910-08:00:02.512,20250910-08:00:08.665,CUPR,2,87,2.63,2.630000,ID1516
ID4200,20250910-08:00:08.569,20250910-08:00:08.681,MVST,2,1,2.81,2.810000,ID1516
ID4233,20250910-08:00:08.718,20250910-08:00:08.827,TSSI,1,20,14.69,14.690000,ID1516
ID4316,20250910-08:00:09.012,20250910-08:00:09.121,PT,2,8,1.1,1.130000,ID1516
ID4321,20250910-08:00:09.019,20250910-08:00:09.127,STFS,1,404,0.1525,0.152375,ID1516
ID2642,20250910-08:00:03.473,20250910-08:00:09.231,EWY,2,3,76,76.000000,ID1516
ID4408,20250910-08:00:09.373,20250910-08:00:09.483,NAKA,1,500,7.06,6.911220,ID1516
ID4438,20250910-08:00:09.479,20250910-08:00:09.589,UFG,1,4,8.91,8.910000,ID1516
ID3191,20250910-08:00:04.859,20250910-08:00:09.982,ASST,2,464,12.6,12.600000,ID1516
ID4632,20250910-08:00:10.262,20250910-08:00:10.369,RMTI,1,24,1.8,1.800000,ID1516
ID4682,20250910-08:00:10.533,20250910-08:00:10.638,IXHL,1,3,0.54,0.540000,ID1516
ID4858,20250910-08:00:11.236,20250910-08:00:11.340,PRPH,2,20,0.5151,0.536400,ID1516
ID4875,20250910-08:00:11.332,20250910-08:00:11.435,YXT,1,200,1.01,0.998000,ID1516
ID4885,20250910-08:00:11.396,20250910-08:00:11.501,KAPA,2,20,1.89,1.910000,ID1516
ID3481,20250910-08:00:05.508,20250910-08:00:11.567,MASK,1,41,0.7799,0.779900,ID1516
ID4981,20250910-08:00:11.790,20250910-08:00:11.894,MCTR,2,100,2.52,2.520000,ID1516
ID4319,20250910-08:00:09.018,20250910-08:00:11.957,KAPA,1,120,1.91,1.910000,ID1516
ID5031,20250910-08:00:12.039,20250910-08:00:12.145,NAKA,1,10,7.06,6.910000,ID1516
ID5057,20250910-08:00:12.176,20250910-08:00:12.279,NAKA,1,1,7.06,6.910000,ID1516
ID5062,20250910-08:00:12.188,20250910-08:00:12.298,KAPA,1,1,1.89,1.840000,ID1516
ID5066,20250910-08:00:12.213,20250910-08:00:12.326,DSY,1,3,2.5,2.440000,ID1516
ID5082,20250910-08:00:12.339,20250910-08:00:12.443,UPST,2,5,67.56,67.720000,ID1516
ID5106,20250910-08:00:12.439,20250910-08:00:12.545,STEC,1,50,2.28,2.190000,ID1516
ID5125,20250910-08:00:12.506,20250910-08:00:12.613,DUO,1,5,3.56,3.530000,ID1516
ID5129,20250910-08:00:12.533,20250910-08:00:12.639,HIVE,2,300,3.04,3.079400,ID1516
ID5155,20250910-08:00:12.607,20250910-08:00:12.712,EQ,2,6,1.83,1.850000,ID1516
ID5188,20250910-08:00:12.750,20250910-08:00:12.853,NAKA,1,10,7,6.910000,ID1516
ID3444,20250910-08:00:05.415,20250910-08:00:13.454,MCTR,1,46,2.52,2.520000,ID1516
ID2188,20250910-08:00:02.354,20250910-08:00:13.454,MCTR,1,157,2.52,2.520000,ID1516
ID2556,20250910-08:00:03.139,20250910-08:00:13.454,MCTR,1,2,2.52,2.520000,ID1516
ID3484,20250910-08:00:05.549,20250910-08:00:13.454,MCTR,1,115,2.52,2.520000,ID1516
ID4497,20250910-08:00:09.699,20250910-08:00:13.454,MCTR,1,9,2.52,2.520000,ID1516
